id ,document,label
1,"1, 2편보다 스케일이 커진 것만 좋았다",1
2,사람이 해골로 변 할때 제작진이 제정신이 아닙니다 보지 마세요,0
3,보다가 화가 난 영화는 이게 처음임...,0
4,"처음 봤을땐 억지 사골 속편이라 생각했건만.. 4, 5편 뇌절 후 다시 보니 선녀",1
5,엄청난 액션이 겁나 많아서 좋음,1
6,지구에 불시착해서 인간을 지키겠다던 외계인들이 미군과 함께 타국의 인간들을 공격하는 임무를 수행하러 다닌다는 기막힌 설정부터 사람 인내심을 테스트한다.,0
7,10년지나서 다시보니 기억이 초기화되서 처음본 영화처럼 너무 재밌게 봤다 ㅎㅎㅎㅎ 꿀잼,1
8,윙슈트 침투장면은 너무 감동적이다 3가 전투신은 가장 화려한듯,1
9,남주 열등감덩어리에 무슨 매력이 있는지 모르겠음 여자가 아까움,0
10,"난 솔직히 여주때문에봄 ㅋㅋㅋㅋ 트포는 딱 3까지가 좋고 4,5는 쓰레기임",1
11,잘 봤어용.,1
12,중간중간 러브스토리가 맥을 끊는 느낌.진짜 최악이었다 10년 지난뒤 다시봐도 쓰레기의 시작,0
13,난 그래도 재밌게 봤는데. 극장가서 가족들이랑 봤을때도 재밌게 본 기억남. 난 트랜스포머 시리즈 중 이게 젤 재밌음,1
14,재미만있구만.ㅋ 근데사전지식이없어서그런데여주가..같은시리즌데난데없는인물이..,1
15,트랜스포머 3 : 떡락의 시작,0
16,이 영화는 캐릭터들에 대한 애정 또는 몰입감이 없으면 재밌게 보기 힘들다. 몰입을 하면 싸우는것 조차도 스토리가 되고 응원하면서 보게 되고 재밌다. 1편부터 애정을 갖고 봤으면 개인적으로는 재미없을 수가 없다. 그저 영화를 평가하는 식으로 보든 '얼마나 재밌는지 보자' 하면서 보거나 시리즈 중 이것만 보면 좋은 평점을 주기 힘들다. 4편부터 진짜 재미없는데 3편은 아주 재밌음 왜 평점이 많이 낮은지 모르겟다.,1
17,말만 많고 액션도 이상해지고ㅜㅜ재미없음,0
18,"어렸을땐, 유치하다고 생각해서 안봤었는데, 커서 보니까 정말 엄청난 영화라는 생각이 든다. 마블보다 연출이나 영상미가 더 대단한듯.",1
19,솔직히 그래픽은 찢었다,1
20,"ㅡㅡ.. 옵티머스는 열심히 목숨구하는데, 샘은 연애질?",0
21,?재미있게봤습니다. 나름,1
22,꼭 영화관에서 보시길.. 정말 재밌습니다. 높은 몰입도..,1
23,내가 본 우주소재 영화중에 최고,1
24,?잘 봤습니다~,1
25,?영화관에서 안보면 별점 못메기게 해야 됨,1
26,광활한 우주를 재개봉으로 큰 스크린으로 볼 수 있어서 다행이었다,1
27,출 대박이예요,1
28,내 인생 최고의 영화 중 하나였다. 영화관이 존재해야 하는 이유를 설명해주는 영화이다.,1
29,재밌읍니다재밌읍니다,1
30,영화관에서 봐야하는 영화,1
31,정적이지만 큰 울림 완벽한 sf,1
32,이런 설정으로 영화를 만들 수 있구나 감탄한 영화,1
33,어떻게 보면 잔잔한 영화인데 오랜만에 봐도 흥미진진하고 몰입이 잘 되었던 영화입니다.,1
34,"개봉, 재개봉, 재재개봉 관람했지만 재재재개봉해도 극장으로..",1
35,?체험과 서사로 겪은 모두의 삶,1
36,?필히 사운드 좋은관에서 보는걸추천!! 내가 우주속에있는듯 하다,1
37,광활한 우주에 유영하는 느낌을 가지게 한 체험형 영화,1
38,사운드 중요해요 우주영화지만 사운드 정말 중요해요,1
39,"우주를 배경으로 한 작품중 영상미는 최고라고 생각하고, 고요한 우주속에서 펼쳐지는 두 배우의 호흡은 정말 최고입니다.",1
40,기어코 이 땅에 발 붙이고 살아가게 만드는 중력: 당신과 세상,1
41,아무도 없는 큰 영화관에서 혼자 보고싶다.,1
42,진짜 왜 감동주고 그래? 월e브아아ㅏㅏ 인생영화,1
43,정말 의미있고 좋은 영화입니다.,1
44,흐흠ㅎㅎ 최고의 영화에용 보고 또보구 ㅎㅎ,1
45,인생을 사는 방법을 알려주는 로봇들,1
46,생각이 많아지는 여운이 남는 영화.,1
47,명작은 시간이 지나도 재밌다 ㅎㅎ,1
48,최고의 애니_무조건 꼭 보세요,1
49,상상력은 예술의 가장 큰 요소임이 분명하다.픽사의 창의력은 어디까지일까,1
50,정말 최고의 애니메이션....,1
51,옛날부터 많이보고 감동한 영화.미래지구가 저렇게 되지않으면 좋겠다는생각을 하게한 영화.,1
52,어릴 때 보고 커서 또 봤는데 너무 감동적인 영화..,1
53,월-E 2가 나오기를 10년 넘게 기다려요ㅜㅜ,1
54,대사가 없어서 영화를 보면 스스로 생각하게 되는데 사람마다 가치관이랑 보는 관점이 달라서 여러가지 의미로 해석이 가능한것같아요. 어릴때는 그냥 스토리만으로 눈으로 보이는것만 봤는데 커서 보니까 또 다른것들이 보이기 시작하네요많은 생각을 하게 되는 작품입니다. 진짜 이게 예술이구나 싶음. 이런 픽사작품 또 나왔으면 좋겠다,1
55,대사도 거의 없다시피 하는 로봇 이야기에 이 정도로 울 줄이야...,1
56,초딩때 처음 보고 지금 23살인데 집에다가 아예 CD 구매해놓고 지금까지 50번 넘게 본 듯 어째 맨날봐도 재밌냐,1
57,이것이 슈퍼노멀의 아름다움,1
58,오랜만에 봐도 정말 너무 재밌고 감동적인 영화였습니다.,1
59,최고의 애니메이션!!,1
60,마음을 따뜻하게 만들어주는..ㅎㅎ,1
61,최고의 명대사:이브?마지막 푸릇푸릇한 것들이 화면에 가득 찼을 때 소름!,1
62,마블영화중 가장 재밌게 봤어요내적댄스 OST들도 최고RIP 채드윅 보스만,1
63,?왕이시여 편히 쉬소서. 와칸다 포에버.,1
64,?RIP 채드윅 보스만,1
65,?역시 멋있... ㅎ 와칸다 뽀에버,1
66,아들과 같이 봤는데 그래픽이 멋있다고 합니다. 재미있게 봤어요.,1
67,신기하고 재밌었습니다,1
68,?재미있었습니다^^~,1
69,와칸다 뽀레버!!! 재미났오요,1
70,재밌었습니다. 계속 봤으면 좋겠다 계속 나와주세요캐릭터들이 좋음,1
71,히어로영화는 그냥저냥.,0
72,?재미있게 잘 봤어여 추천요,1
73,재미있네요 ㅋㅋㅋㅋ 역시마블,1
74,?주변인들에게 추천할 정도로 재미있었습니다,1
75,?나키아 짱귀여움....한국말할때.,1
76,별루별루별루별루별루,0
77,완전 잼나요! 마이클B조던한테 엄청엄청 반하게 됩니당 ㅎㅎ,1
78,완전 꿀~~~~잼이에여 ㅎㅎ,1
79,관람객?와칸다는 영원ㄴ합니다,1
80,역시 마블 영화는 재밌다,1
81,마블영화본중 젤 재미없었던거같아요ㅎ,0
82,전편들에 비하면 너무 형편없는 영화이다.,0
83,최고조의 리부트 비기닝 첫 단추,1
84,시리즈물인지 모르고 더비기닝을 가장 먼저 봐버렸다. 모든 게 너무 급전개여서 당황스러운 부분이 많았는데 전편을 보지 않아서인지도 모르겠다. 영상미는 우주영화에서 느끼고 싶었던 부분을 충분히 만족시켜주는 수준이었음 굿굿,1
85,보기좋은 떡이 맛도 좋진 않다,0
86,Jj표 스타트랙 화려한 부활1,1
87,탄탄하고 긴장감 넘치는 스토리 스타트렉 세계관을 이해 못하더라 이해할수 있을 정도로 잘 만든 영화 2탄이ㅜ기대된다 영상미 또한 최고 였다,1
88,아직까지도 나에겐 최고의 영화..,1
89,최고의 스페이스오페라,1
90,스팍은 진짜 분장이 찰떡,1
91,10년이 더 지난 지금 보더라도 전혀 불편함 없는 퀄리티. 상상으로만 생각하던 평행우주에 대해 다룬 영화이지만 거부감없이 잘 본 영화.스팍과 커크의 티키타카 시작점이 되어준 값진 영화,1
92,극장에서 느꼈던 그 전율! SF 중엔 너가 최고다,1
93,나는 왜 재미가 없을까? 연출은 잘했지만 스토리가 복잡하고 눈요기도 안되는 듯. 그나마 연기 구멍은 없다.,0
